2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H7522,Medicare y Mucho Mas,"MMM HEALTHCARE, LLC","Elevance Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,93,Not enough data available,30%,93%,Not enough data available,Not enough data available,Not enough data available,7%,0%,3%,7%,84%,3%,77%,2%,90%,Plan not required to report measure,21%,62%,74%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,78%,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,49%,37%,4%,No data available,No data available,No data available,No data available,7.15%,12.02%,13.71%,61.11%,0.67,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7524,Excellus Health Plan Community Care LLC,EXCELLUS HEALTH PLAN COMMUNITY CARE LLC,"Lifetime Healthcare, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:53,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:53,No data available,0:21,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7539,Zing Health,"ZING HEALTH, INC.","Zing Health Consolidator, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7556,Ascension Complete,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC.",Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:30,Plan too small to be measured,Plan too small to be measured,4.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,4.00%,0:30,109,0:11,92,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,6.80%,13.49%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7557,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Founders, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:30,Plan too small to be measured,100%,2.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0%,CMS found issues with plan's data,11%,CMS found issues with plan's data,Plan too new to be measured,80%,Not enough data available,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2.00%,0:30,No data available,0:21,49,No data available,No data available,2%,2%,15.28%,0.75%,0.00%,15.89%,21.33%,42.88%,63.29%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7559,Molina Healthcare of Virginia,"Molina Healthcare of Virginia, LLC","Molina Healthcare, Inc.,",Not enough data available,71%,Not enough data available,Not enough data available,Not enough data available,0:22,42%,90%,0.00%,Not enough data available,Not enough data available,49%,10%,29%,Not enough data available,19%,10%,66%,11%,Plan too new to be measured,39%,33%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,37%,0.00%,0:22,100,1:06,88,59%,44%,9%,No data available,12.64%,11.49%,0.00%,11.06%,15.65%,8.24%,61.82%,7.71,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7598,Group Health Cooperative of Eau Claire,GROUP HEALTH COOPERATIVE OF EAU CLAIRE,Group Health Cooperative of Eau Claire,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:09,Plan too small to be measured,Plan too small to be measured,2.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.00%,0:09,No data available,0:01,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7605,Devoted Health,DEVOTED HEALTH PLAN OF TENNESSEE INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,1.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.00%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7607,Clever Care Health Plan,"CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan, Inc.",Not enough data available,68%,Not enough data available,Not enough data available,Not enough data available,0:02,71%,93%,1.00%,Not enough data available,Not enough data available,6%,0%,3%,Not enough data available,55%,5%,72%,2%,Plan too new to be measured,No data available,59%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,74%,1.00%,0:02,100,0:14,97,69%,61%,3%,No data available,9.00%,0.00%,0.00%,6.82%,7.65%,2.42%,71.51%,5.5,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7617,Humana,EMPHESYS INSURANCE COMPANY,Humana Inc.,Not enough data available,72%,Not enough data available,32%,94,Not enough data available,79%,98%,Not enough data available,80%,84%,37%,3%,20%,16%,85%,52%,94%,25%,Plan too new to be measured,Plan not required to report measure,48%,Plan too new to be measured,Plan too new to be measured,7%,26%,18%,17%,83%,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,61%,27%,10%,No data available,13.54%,3.33%,0.51%,8.93%,11.75%,18.21%,74.19%,0.69,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7621,Humana,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,39%,63%,Not enough data available,25%,Not enough data available,1:59,65%,92%,3.19%,67%,78%,81%,6%,44%,10%,77%,39%,85%,16%,96%,Plan not required to report measure,61%,72%,72%,5%,7%,7%,2%,73%,3.19%,1:59,100,0:09,83,58%,28%,5%,No data available,10.73%,3.99%,0.13%,8.71%,11.87%,20.40%,62.18%,3.97,25%,26%,16%,Not Available,14%,100
H7646,PHP Medicare,PHP MEDICARE,University of Michigan Health,Not enough data available,72%,Not enough data available,51%,92,0:24,75%,97%,1.00%,81%,89%,36%,0%,18%,10%,83%,72%,95%,60%,Plan too new to be measured,Plan not required to report measure,52%,Plan too new to be measured,Plan too new to be measured,14%,30%,20%,16%,80%,1.00%,0:24,98,0:21,47,42%,19%,8%,No data available,8.50%,4.08%,0.00%,6.72%,9.47%,10.47%,60.71%,9.77,20%,26%,22%,Not Available,15%,100
H7670,Mass Advantage,"CENTRAL MASS HEALTH, LLC",Central Mass Health Holding LLC,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:19,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:19,100,0:13,89,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,9.89%,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",40%,52%,Not enough data available,23%,Not enough data available,0:06,57%,95%,0.00%,69%,84%,44%,2%,23%,14%,26%,2%,74%,1%,84%,73%,36%,73%,84%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,54%,0.00%,0:06,102,1:06,83,60%,51%,11%,No data available,13.04%,2.17%,0.00%,12.37%,12.17%,20.74%,70.78%,32.86,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7680,Prominence Health Plan,PROMINENCE HEALTHFIRST OF TEXAS,"Universal Health Services, Inc.",Not enough data available,56%,Not enough data available,Not enough data available,90,0:19,61%,96%,0.00%,Not enough data available,Not enough data available,17%,1%,9%,10%,81%,18%,91%,15%,96%,70%,62%,68%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,84%,0.00%,0:19,99,0:21,93,57%,43%,6%,No data available,12.28%,1.50%,0.00%,5.24%,7.69%,6.41%,58.54%,3.32,31%,36%,13%,Not Available,15%,100
H7728,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.","Elevance Health, Inc.",50%,68%,88%,25%,No data available,0:29,Plan too small to be measured,96%,3.00%,76%,80%,44%,5%,24%,14%,73%,12%,90%,12%,100%,66%,40%,70%,86%,3%,12%,9%,11%,76%,1.34%,0:13,100,0:41,95,No data available,No data available,13%,16%,19.22%,6.14%,0.31%,9.71%,13.52%,21.94%,69.79%,9.65,Not Available,15%,25%,Not Available,10%,80
H7746,MDwise Medicare,"MDWISE, INC",McLaren Health Care Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:40,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:13,No data available,0:20,92,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7778,UnitedHealthcare,"UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:43,Plan too new to be measured,Plan too new to be measured,5.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,5.00%,0:43,No data available,0:37,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7779,American Health Advantage of Tennessee,"AMERICAN HEALTH PLAN, INC.",Mitchell Family Office,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:15,Plan too small to be measured,100%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,100%,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,59%,1.00%,0:15,No data available,0:11,49,No data available,No data available,8%,8%,29.86%,1.45%,0.00%,17.17%,39.10%,61.29%,87.62%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
